User_id,Device_id,activity,activity_time,
U_000058,D_058,puzzle_004,2022-11-01 00:01:00.000 +0300,
U_000033,D_033,bonus_activate_001,2022-11-01 00:04:00.000 +0300,
U_000078,D_078,puzzle_005,2022-11-01 00:05:00.000 +0300,
U_000074,D_074,hall_of_fame,2022-11-01 00:10:00.000 +0300,
U_000032,D_032,Level_Lose,2022-11-01 00:12:00.000 +0300,
U_000015,D_015,puzzle_007,2022-11-02 22:54:00.000 +0300,
U_000035,D_035,bonus_activate_003,2022-11-06 17:49:00.000 +0300,
U_000039,D_039,puzzle_011,2022-11-09 11:35:00.000 +0300,
U_000070,D_070,Product_Purchase_001,2022-11-11 17:55:00.000 +0300,
U_000031,D_031,puzzle_009,2022-11-11 18:51:00.000 +0300,
U_000019,D_019,puzzle_006,2022-11-11 11:36:00.000 +0300,
U_000034,D_034,puzzle_007,2022-11-03 19:07:00.000 +0300,
U_000019,D_019,puzzle_007,2022-11-06 12:36:00.000 +0300,
U_000038,D_038,puzzle_003,2022-11-08 02:27:00.000 +0300,
U_000077,D_077,puzzle_001,2022-11-11 11:46:00.000 +0300,
U_000064,D_064,Level_Draw,2022-11-05 01:38:00.000 +0300,
U_000059,D_059,puzzle_004,2022-11-09 20:44:00.000 +0300,
U_000043,D_043,puzzle_002,2022-11-01 01:01:00.000 +0300,
U_000055,D_055,puzzle_007,2022-11-05 03:19:00.000 +0300,
U_000005,D_005,puzzle_001,2022-11-02 05:05:00.000 +0300,
U_000003,D_003,puzzle_001,2022-11-03 11:49:00.000 +0300,
U_000061,D_061,Product_Purchase_001,2022-11-09 13:32:00.000 +0300,
U_000023,D_023,puzzle_005,2022-11-10 11:43:00.000 +0300,
U_000025,D_025,Crash,2022-11-06 11:09:00.000 +0300,
U_000053,D_053,puzzle_008,2022-11-05 22:02:00.000 +0300,
U_000072,D_072,puzzle_004,2022-11-03 17:18:00.000 +0300,
U_000037,D_037,Level_Win,2022-11-04 13:38:00.000 +0300,
U_000015,D_015,puzzle_005,2022-11-07 08:52:00.000 +0300,
U_000049,D_049,puzzle_005,2022-11-04 18:22:00.000 +0300,
U_000076,D_076,puzzle_011,2022-11-05 16:17:00.000 +0300,
U_000067,D_067,puzzle_011,2022-11-05 23:30:00.000 +0300,
